serial_no,frame_no,timestamp,object_class,class_id,track_id,confidence,x1,y1,x2,y2
87,145,4.833,refrigerator,72,26,0.5164,0.0,171.97,603.83,1404.88
88,146,4.867,microwave,68,22,0.8137,730.11,663.87,873.32,742.26
89,146,4.867,refrigerator,72,26,0.4882,0.0,164.36,602.6,1407.28
90,146,4.867,tv,62,20,0.525,960.78,569.09,1207.07,758.85
91,147,4.9,microwave,68,22,0.8279,738.81,659.57,886.22,740.35
92,147,4.9,refrigerator,72,26,0.5601,0.0,144.31,606.22,1405.11
93,147,4.9,tv,62,20,0.4484,974.79,563.05,1227.24,757.06
94,148,4.933,microwave,68,22,0.7653,753.61,657.07,903.01,739.17
95,148,4.933,refrigerator,72,26,0.5822,0.0,119.47,612.75,1404.2
96,148,4.933,tv,62,20,0.39,993.51,557.33,1253.06,756.78
97,149,4.967,microwave,68,22,0.8397,768.35,654.59,920.72,738.44
98,149,4.967,refrigerator,72,26,0.6668,0.0,101.45,616.73,1404.15
99,150,5.0,microwave,68,22,0.7188,782.99,653.93,935.87,738.1
100,150,5.0,refrigerator,72,26,0.7042,0.0,86.73,619.32,1404.48
101,151,5.033,microwave,68,22,0.7318,794.52,653.87,949.5,739.18
102,151,5.033,refrigerator,72,26,0.7013,0.0,66.69,619.71,1406.1
103,152,5.067,microwave,68,22,0.8561,806.09,654.66,962.39,740.66
104,152,5.067,refrigerator,72,26,0.5465,0.0,51.91,615.45,1403.35
105,152,5.067,tv,62,20,0.4987,1068.62,542.41,1357.79,765.5
106,153,5.1,microwave,68,22,0.8322,817.8,660.33,976.31,747.54
107,153,5.1,tv,62,20,0.3995,1082.2,543.26,1382.18,775.72
108,154,5.133,microwave,68,22,0.8574,828.06,669.05,989.23,757.92
109,155,5.167,microwave,68,22,0.8184,835.92,679.38,1001.12,770.58
110,155,5.167,tv,62,20,0.4947,1102.55,558.19,1408.0,806.62
111,156,5.2,microwave,68,22,0.6699,844.29,689.86,1014.4,784.12
112,157,5.233,microwave,68,22,0.7314,857.41,696.17,1031.72,792.84
113,158,5.267,microwave,68,22,0.7923,869.64,693.56,1049.92,793.78
114,159,5.3,microwave,68,22,0.8713,883.69,688.64,1067.82,790.92
115,160,5.333,microwave,68,22,0.8496,899.11,684.05,1088.72,789.22
116,160,5.333,refrigerator,72,26,0.4426,0.0,0.0,534.45,1390.67
117,161,5.367,microwave,68,22,0.8698,912.01,681.32,1106.76,789.44
118,162,5.4,microwave,68,22,0.7223,931.67,679.95,1132.59,790.85
119,162,5.4,refrigerator,72,26,0.3968,0.0,75.19,497.2,1395.51
120,163,5.433,microwave,68,22,0.825,947.75,678.34,1153.97,791.91
121,163,5.433,refrigerator,72,26,0.7566,0.0,165.9,482.76,1401.55
122,164,5.467,microwave,68,22,0.8628,963.62,676.05,1180.74,796.05
123,164,5.467,refrigerator,72,26,0.7493,0.0,74.39,488.89,1404.27
124,165,5.5,microwave,68,22,0.6479,992.33,678.89,1216.5,801.29
125,165,5.5,refrigerator,72,26,0.8204,0.0,48.56,481.74,1402.93
126,166,5.533,microwave,68,22,0.6129,1016.4,684.44,1249.95,810.66
127,166,5.533,refrigerator,72,26,0.6847,0.0,42.39,463.38,1400.5
128,167,5.567,microwave,68,22,0.6924,1036.69,688.55,1285.43,822.22
129,167,5.567,refrigerator,72,26,0.6627,0.0,40.72,464.06,1395.44
130,168,5.6,microwave,68,22,0.6804,1052.3,691.09,1315.43,832.94
131,168,5.6,refrigerator,72,26,0.5213,0.0,17.58,477.31,1395.91
132,169,5.633,microwave,68,22,0.8031,1077.2,695.03,1348.51,840.84
133,169,5.633,refrigerator,72,26,0.7579,0.0,53.37,462.45,1390.8
134,170,5.667,microwave,68,22,0.8115,1102.11,703.06,1376.8,850.11
135,170,5.667,refrigerator,72,26,0.5839,0.0,30.55,471.81,1392.2
136,171,5.7,microwave,68,22,0.8408,1120.76,707.55,1404.09,859.85
137,171,5.7,refrigerator,72,26,0.6876,0.0,63.49,457.25,1391.7
138,172,5.733,microwave,68,22,0.7474,1133.75,715.32,1408.0,874.22
139,173,5.767,microwave,68,22,0.646,1141.75,721.3,1408.0,893.23
140,173,5.767,refrigerator,72,26,0.3729,0.0,89.09,429.86,1400.99
141,174,5.8,microwave,68,22,0.5553,1151.89,735.58,1408.0,911.34
142,179,5.967,oven,69,32,0.4153,307.58,853.0,623.27,1052.06
143,180,6.0,oven,69,32,0.4557,325.96,858.93,649.16,1062.74
144,182,6.067,oven,69,32,0.5699,362.82,855.26,701.81,1069.23
145,183,6.1,oven,69,32,0.542,390.51,850.6,740.37,1071.82
146,184,6.133,oven,69,32,0.675,410.66,840.92,765.85,1065.85
147,185,6.167,oven,69,32,0.5179,423.76,828.08,785.64,1057.93
148,186,6.2,oven,69,32,0.4962,436.41,813.52,803.75,1048.13
149,187,6.233,oven,69,32,0.6233,454.48,802.35,830.05,1042.48
150,188,6.267,oven,69,32,0.6089,482.17,808.4,847.99,1041.41
151,189,6.3,oven,69,32,0.6572,487.71,798.05,879.09,1048.68
152,190,6.333,oven,69,32,0.7504,497.5,795.39,911.82,1062.64
153,191,6.367,oven,69,32,0.749,508.28,788.95,940.14,1069.93
